Company Name,Domain,Vertical,Country,Tech Spend ($),Monthly Visits,Has Case Study Match,Emails,Phones,Social Links
HUAWEI,huawei.com,Business And Industrial,CN,46820,75744731,Yes,licensing@huawei.com; website@huawei.com,+1-800-204-9893; +1-800-700-1606,twitter.com/huawei; facebook.com/huawei
TD Bank,td.com,Finance,CA,52705,43178055,No,customerfeedback@td.com,+1-855-569-1640; +1-877-734-1288,facebook.com/tdcanada; instagram.com/tdfef
Kia Corporation,kia.com,Automotive And Vehicles,US,76402,25488904,Yes,apps@kia.com,,pinterest.com/kiamotorsnl; instagram.com/kiacanada
National Australia Bank,nab.com.au,Finance,AU,71847,11493900,No,feedback@nab.com.au; info@nab.com.au,+61-800-033103; +61-300-558863,linkedin.com/company/nab-asset-management; finance.yahoo.com/quote/NABZY/
Mercedes-Benz Group AG,mercedes-benz.com,Automotive And Vehicles,DE,77414,6577475,Yes,,+1-877-206-7862; +1-415-579-9122,twitter.com/mercedesbenz; facebook.com/mercedesbenz
Miles & More,miles-and-more.com,Technology And Computing,,43622,6054821,Yes,,,twitter.com/miles_and_more; linkedin.com/company/miles-
Mark's,marks.com,Style And Fashion,CA,42949,4982280,Yes,socialmedia@marks.com,+1-866-339-1626; +1-800-452-0770,twitter.com/markscanada; facebook.com/marksclothing
Morgan Stanley,morganstanley.com,Finance,US,101331,4700697,No,,+1-800-555-7187; +1-801-902-6997,twitter.com/morganstanley; linkedin.com/company/morgan-stanley
CVS Caremark,caremark.com,"Law, Govt And Politics",US,56835,4498750,Yes,,+1-800-552-8159,
Infinite USA Inc,infinitiusa.com,Automotive And Vehicles,US,42617,4443055,Yes,,+1-800-952-5210; +1-800-778-4211,twitter.com/infinitiusa; facebook.com/infiniti
SP Global,spglobal.com,Business And Industrial,US,81523,3486096,Yes,privacy@spglobal.com; security@spglobal.com,+1-212-438-2297; +1-202-383-2427,twitter.com/spglobal; finance.yahoo.com/quote/SPGI/
Changi Airport Singapore,changiairport.com,Travel,SG,41893,2084724,Yes,enquiry@changiairport.com; feedback@changiairport.com,,twitter.com/changiairport; facebook.com/changiairport
Avalara Inc,avalara.com,Business And Industrial,US,77700,1990002,Yes,legal@avalara.com,+1-206-780-5011; +1-877-780-4848,twitter.com/avalara; facebook.com/avalara
Microchip Technology Incorporated,microchip.com,Technology And Computing,US,50164,1332073,Yes,events@microchip.com; recruiter@microchip.com,+1-480-792-7200; +1-480-792-4112,twitter.com/microchiptech; linkedin.com/company/microchip-technology
Volvo AB,volvo.com,Automotive And Vehicles,SE,65825,1191497,Yes,,,twitter.com/volvogroup; facebook.com/volvogroup
"F5, Inc.",f5.com,Business And Industrial,US,68678,994757,Yes,info@f5.com; consulting@f5.com,+1-206-272-6500; +1-978-513-2990,facebook.com/f5incorporated; youtube.com/user/f5networksinc
"Juniper Networks, Inc.",juniper.net,Technology And Computing,US,84111,968020,Yes,privacy@juniper.net,+1-408-936-8472; +1-408-745-2100,twitter.com/junipernetworks; facebook.com/junipernetworks
Flinders University of South Australia,flinders.edu.au,Science,AU,43415,938479,Yes,,+61-882-013911; +61-872-218686,twitter.com/flinders; facebook.com/flindersuniversity
Allianz Insurance Australia,allianz.com.au,Technology And Computing,AU,49953,903209,Yes,privacy@allianz.com.au; media@allianz.com.au,+61-29-3606601; +61-300-130664,facebook.com/allianzaustralia; twitter.com/allianz_au
Bristol Myers Squibb,bms.com,Business And Industrial,US,63517,809790,Yes,,+1-800-332-2056; +1-877-274-0626,twitter.com/bmsnews; finance.yahoo.com/quote/BMY/
Moody's Investors Service Inc,moodys.com,Business And Industrial,US,72670,716310,No,clientservices@moodys.com; unsubscribe@moodys.com,+1-212-553-1653; +1-207-772-1000,twitter.com/moodys; linkedin.com/company/moodys-corporation
Constellation Generation Group,constellation.com,Business And Industrial,US,50024,528554,No,home@constellation.com,+1-312-394-2345; +1-410-470-9700,twitter.com/constellationeg; facebook.com/constellationenergy
Odpbusiness LLC,odpbusiness.com,Business And Industrial,US,46419,505137,No,,+1-800-269-6888; +1-916-445-1254,facebook.com/odpbusinesssolutions; instagram.com/odpbusiness
Sunstar Americas Inc,sunstargum.com,Health And Fitness,CA,51625,395405,No,info@sunstargum.com,+1-800-553-2014; +1-800-528-8537,twitter.com/sunstargum; linkedin.com/company/sunstar-europe
Avery Dennison,averydennison.com,Business And Industrial,US,44973,322225,No,,+1-626-304-2204; +1-213-403-0611,twitter.com/averydennison; facebook.com/averydennisongrsanz
NV Bekaert SA,bekaert.com,Business And Industrial,BE,55482,127163,No,privacy@bekaert.com,+1-770-421-8521; +1-330-683-0446,twitter.com/bekaert; facebook.com/bekaertwire
Identity Force,identityforce.com,"Law, Govt And Politics",US,44547,125798,No,info@identityforce.com; privacy@identityforce.com,+1-877-694-3367; +1-508-788-6642,twitter.com/identityforce; pinterest.com/identityforce
