company_name,domain,partner_tech,vertical,country,icp_tier,icp_tier_name,lead_score,sw_monthly_visits,sw_bounce_rate,sw_pages_per_visit,sw_search_traffic_pct,tech_spend
HUAWEI,huawei.com,"Adobe Experience Manager","Business And Industrial",CN,1,Commerce,90,75744731,,,,46820
"TD Bank",td.com,"Adobe Experience Manager",Finance,CA,1,Commerce,90,43178055,,,,52705
"Kia Corporation",kia.com,"Adobe Experience Manager","Automotive And Vehicles",US,1,Commerce,90,25488904,,,,76402
"National Australia Bank",nab.com.au,"Adobe Experience Manager",Finance,AU,1,Commerce,90,11493900,,,,71847
"Mercedes-Benz Group AG",mercedes-benz.com,"Adobe Experience Manager","Automotive And Vehicles",DE,1,Commerce,85,6577475,,,,77414
"Morgan Stanley",morganstanley.com,"Adobe Experience Manager",Finance,US,1,Commerce,85,4700697,,,,101331
"CVS Caremark",caremark.com,"Adobe Experience Manager","Law, Govt And Politics",US,1,Commerce,80,4498750,,,,56835
"SP Global",spglobal.com,"Adobe Experience Manager","Business And Industrial",US,1,Commerce,80,3486096,,,,81523
"Avalara Inc",avalara.com,"Adobe Experience Manager","Business And Industrial",US,1,Commerce,80,1990002,,,,77700
"Volvo AB",volvo.com,"Adobe Experience Manager","Automotive And Vehicles",SE,1,Commerce,80,1191497,,,,65825
"Mark's",marks.com,"Adobe Experience Manager","Style And Fashion",CA,1,Commerce,75,4982280,,,,42949
"Infinite USA Inc",infinitiusa.com,"Adobe Experience Manager","Automotive And Vehicles",US,1,Commerce,75,4443055,,,,42617
HOFER,hofer.at,"Adobe Experience Manager",Sports,US,1,Commerce,75,3212394,,,,34639
"ALLIANZ INFORMATIQUE G.I.E",allianz.fr,"Adobe Experience Manager",Sports,FR,1,Commerce,75,3071688,,,,38122
"Chevrolet Mexico",chevrolet.com.mx,"Adobe Experience Manager","Automotive And Vehicles",MX,1,Commerce,75,2776244,,,,36843
"Bever B.V",bever.nl,"Adobe Experience Manager","Home And Garden",NL,1,Commerce,75,2594356,,,,29080
"Fiat Automobiles S.p.A.",fiat.com,"Adobe Experience Manager","Automotive And Vehicles",IT,1,Commerce,75,2589621,,,,33429
