Rank,Company,Domain,Vertical,Country,ICP Tier,ICP Score,Monthly Visits,Tech Spend,Has Case Study Match
1,Kia Corporation,kia.com,Automotive And Vehicles,US,Tier 1,100,25488904,76402,Yes
2,Mercedes-Benz Group AG,mercedes-benz.com,Automotive And Vehicles,DE,Tier 1,95,6577475,77414,Yes
3,Volvo AB,volvo.com,Automotive And Vehicles,SE,Tier 1,90,1191497,65825,Yes
4,Mark's,marks.com,Style And Fashion,CA,Tier 1,85,4982280,42949,Yes
5,Infinite USA Inc,infinitiusa.com,Automotive And Vehicles,US,Tier 1,85,4443055,42617,Yes
6,HOFER,hofer.at,Sports,US,Tier 1,85,3212394,34639,No
7,ALLIANZ INFORMATIQUE G.I.E,allianz.fr,Sports,FR,Tier 1,85,3071688,38122,No
8,Chevrolet Mexico,chevrolet.com.mx,Automotive And Vehicles,MX,Tier 1,85,2776244,36843,No
9,Bever B.V,bever.nl,Home And Garden,NL,Tier 1,85,2594356,29080,No
10,Fiat Automobiles S.p.A.,fiat.com,Automotive And Vehicles,IT,Tier 1,85,2589621,33429,No
11,Sunstar Americas Inc,sunstargum.com,Health And Fitness,CA,Tier 1,80,395405,51625,No
12,Boston Pizza International Inc,bostonpizza.com,Food And Drink,CA,Tier 1,75,632726,32906,No
13,Radley + Co. Limited,radley.co.uk,Style And Fashion,GB,Tier 1,75,557837,34075,No
14,Nissan,nissan.it,Automotive And Vehicles,IT,Tier 1,75,522824,33165,No
15,Nissan Motors India Pvt Ltd,nissan.in,Automotive And Vehicles,IN,Tier 1,75,366123,38495,No
16,ChevroletEcuador,chevrolet.com.ec,Automotive And Vehicles,EC,Tier 1,75,256034,33377,No
17,VRAYLAR CO,vraylar.com,Health And Fitness,US,Tier 1,75,254473,30787,No
18,Nissan,nissan.nl,Automotive And Vehicles,NL,Tier 1,75,101362,36437,No
19,Nissan,nissan.se,Automotive And Vehicles,FR,Tier 1,65,97709,32275,No
20,asadventure inc,asadventure.nl,Shopping,BE,Tier 1,65,85550,27865,No
21,Bose,bose.tw,Automotive And Vehicles,US,Tier 1,65,75067,35574,No
22,Nissan,nissan.no,Automotive And Vehicles,FR,Tier 1,65,48715,33825,No
23,Szott M59 Toyota,szottm59toyota.com,Automotive And Vehicles,US,Tier 1,65,28671,31350,No
24,Unilever Food Solutions,ufs.com,Food And Drink,US,Tier 1,65,21852,37909,No
25,TUSENFRYD AS,tusenfryd.no,Shopping,NO,Tier 1,65,21115,34065,No
26,Bo Sommarland AS,sommarland.no,Shopping,NO,Tier 1,65,12149,38105,No
27,,gatewaytoyota.com,Automotive And Vehicles,US,Tier 1,65,10888,31670,No
28,,boothehvac.com,Style And Fashion,US,Tier 1,65,10129,29178,No
29,Intense Lighting,intenselighting.com,Home And Garden,US,Tier 1,65,3697,29250,No
30,Kellogg Company,kelloggsawayfromhome.com,Food And Drink,US,Tier 1,65,2806,29500,No
31,Creature Comforts Animal Inn,ccanimalinn.com,Pets,US,Tier 1,65,1917,27575,No
32,chevroletperu,chevrolet.com.pe,Automotive And Vehicles,PE,Tier 1,60,,27377,No
33,Nissan,nissan.si,Automotive And Vehicles,SI,Tier 1,60,,26957,No
