Rank,Company Name,Domain,Vertical,Country,Monthly Visits,Tech Spend ($),Has Case Study
1,HUAWEI,huawei.com,Business And Industrial,CN,"75,744,731",46820,Yes
2,TD Bank,td.com,Finance,CA,"43,178,055",52705,No
3,Kia Corporation,kia.com,Automotive And Vehicles,US,"25,488,904",76402,Yes
4,National Australia Bank,nab.com.au,Finance,AU,"11,493,900",71847,No
5,Mercedes-Benz Group AG,mercedes-benz.com,Automotive And Vehicles,DE,"6,577,475",77414,Yes
6,Miles & More,miles-and-more.com,Technology And Computing,,"6,054,821",43622,Yes
7,Mark's,marks.com,Style And Fashion,CA,"4,982,280",42949,Yes
8,Morgan Stanley,morganstanley.com,Finance,US,"4,700,697",101331,No
9,CVS Caremark,caremark.com,"Law, Govt And Politics",US,"4,498,750",56835,Yes
10,Infinite USA Inc,infinitiusa.com,Automotive And Vehicles,US,"4,443,055",42617,Yes
11,SP Global,spglobal.com,Business And Industrial,US,"3,486,096",81523,Yes
12,Changi Airport Singapore,changiairport.com,Travel,SG,"2,084,724",41893,Yes
13,Avalara Inc,avalara.com,Business And Industrial,US,"1,990,002",77700,Yes
14,Microchip Technology Incorporated,microchip.com,Technology And Computing,US,"1,332,073",50164,Yes
15,Volvo AB,volvo.com,Automotive And Vehicles,SE,"1,191,497",65825,Yes
16,"F5, Inc.",f5.com,Business And Industrial,US,"994,757",68678,Yes
17,"Juniper Networks, Inc.",juniper.net,Technology And Computing,US,"968,020",84111,Yes
18,Flinders University of South Australia,flinders.edu.au,Science,AU,"938,479",43415,Yes
19,Allianz Insurance Australia,allianz.com.au,Technology And Computing,AU,"903,209",49953,Yes
20,Bristol Myers Squibb,bms.com,Business And Industrial,US,"809,790",63517,Yes
21,Moody's Investors Service Inc,moodys.com,Business And Industrial,US,"716,310",72670,No
22,Constellation Generation Group,constellation.com,Business And Industrial,US,"528,554",50024,No
23,Odpbusiness LLC,odpbusiness.com,Business And Industrial,US,"505,137",46419,No
24,Sunstar Americas Inc,sunstargum.com,Health And Fitness,CA,"395,405",51625,No
25,Avery Dennison,averydennison.com,Business And Industrial,US,"322,225",44973,No
26,NV Bekaert SA,bekaert.com,Business And Industrial,BE,"127,163",55482,No
27,Identity Force,identityforce.com,"Law, Govt And Politics",US,"125,798",44547,No
28,Software Aktiengesellschaft,softwareag.com,Business And Industrial,DE,"97,703",62190,No
29,BlueScope Steel Ltd,bluescope.com,Business And Industrial,AU,"56,082",45920,No
30,Ideal Industries Inc,idealindustries.com,Business And Industrial,,"10,548",44583,No
31,Amazon.com Inc,aboutamazon.com,Business And Industrial,,Not enriched,41637,No
32,Widia Technologies Pvt Ltd,widia.com,Business And Industrial,US,Not enriched,40746,No
33,"Wesco International, Inc.",wesco.com,Business And Industrial,US,Not enriched,40671,No
34,Waukesha Bearings Corporation,inpro-seal.com,Business And Industrial,US,Not enriched,40572,No
35,FLEETCOR,fleetcor.com,Business And Industrial,US,Not enriched,39706,No
36,,ihgresidences.com,,,Not enriched,39637,No
37,HealthSmart,healthsmart.com,"Law, Govt And Politics",US,Not enriched,39577,No
38,Nouryon,akzonobel.com,Business And Industrial,NL,Not enriched,39388,No
39,MINI,mini.com.mx,Technology And Computing,MX,Not enriched,39307,No
40,Nutanix,nutanix.cn,Technology And Computing,US,Not enriched,39284,No
